flow_id,iat,packet_length,direction,icmp_type
182,0.004846096038818359,110,1,0
183,0.0,110,0,8
183,0.004906415939331055,110,1,0
184,0.0,110,0,8
184,0.0049021244049072266,110,1,0
185,0.0,110,0,8
185,0.005076169967651367,110,1,0
186,0.0,110,0,8
186,0.004807710647583008,110,1,0
187,0.0,110,0,8
187,0.0048503875732421875,110,1,0
188,0.0,110,0,8
188,0.005650043487548828,110,1,0
189,0.0,110,0,8
189,0.004904270172119141,110,1,0
190,0.0,110,0,8
190,0.005166053771972656,110,1,0
191,0.0,110,0,8
191,0.004852771759033203,110,1,0
192,0.0,110,0,8
192,0.004856109619140625,110,1,0
193,0.0,110,0,8
193,0.004811525344848633,110,1,0
194,0.0,110,0,8
194,0.004949331283569336,110,1,0
195,0.0,110,0,8
195,0.004828453063964844,110,1,0
196,0.0,110,0,8
196,0.0047910213470458984,110,1,0
197,0.0,110,0,8
197,0.004880189895629883,110,1,0
198,0.0,110,0,8
198,0.0048182010650634766,110,1,0
199,0.0,110,0,8
199,0.004918336868286133,110,1,0
200,0.0,110,0,8
200,0.004830121994018555,110,1,0
201,0.0,110,0,8
201,0.004827022552490234,110,1,0
202,0.0,110,0,8
202,0.0048367977142333984,110,1,0
203,0.0,110,0,8
203,0.0047991275787353516,110,1,0
204,0.0,110,0,8
204,0.004915952682495117,110,1,0
205,0.0,110,0,8
205,0.004884243011474609,110,1,0
206,0.0,110,0,8
206,0.004983425140380859,110,1,0
207,0.0,110,0,8
207,0.00510716438293457,110,1,0
208,0.0,110,0,8
208,0.004831075668334961,110,1,0
209,0.0,110,0,8
209,0.004956960678100586,110,1,0
210,0.0,110,0,8
210,0.0049686431884765625,110,1,0
211,0.0,110,0,8
211,0.005130290985107422,110,1,0
212,0.0,110,0,8
212,0.005023479461669922,110,1,0
213,0.0,110,0,8
213,0.004896640777587891,110,1,0
214,0.0,110,0,8
214,0.004825592041015625,110,1,0
215,0.0,110,0,8
215,0.0049707889556884766,110,1,0
216,0.0,110,0,8
216,0.004995107650756836,110,1,0
217,0.0,110,0,8
217,0.004918813705444336,110,1,0
218,0.0,110,0,8
218,0.008428573608398438,110,1,0
219,0.0,110,0,8
219,0.005105733871459961,110,1,0
220,0.0,110,0,8
220,0.005151271820068359,110,1,0
221,0.0,110,0,8
221,0.005129337310791016,110,1,0
222,0.0,110,0,8
222,0.0051271915435791016,110,1,0
223,0.0,110,0,8
223,0.005311727523803711,110,1,0
224,0.0,110,0,8
224,0.005070209503173828,110,1,0
225,0.0,110,0,8
225,0.005131721496582031,110,1,0
226,0.0,110,0,8
226,0.005074024200439453,110,1,0
227,0.0,110,0,8
227,0.0049016475677490234,110,1,0
228,0.0,110,0,8
228,0.005091428756713867,110,1,0
229,0.0,110,0,8
229,0.005081892013549805,110,1,0
230,0.0,110,0,8
230,0.005094051361083984,110,1,0
231,0.0,110,0,8
231,0.005086183547973633,110,1,0
232,0.0,110,0,8
232,0.00511622428894043,110,1,0
233,0.0,110,0,8
233,0.004917144775390625,110,1,0
234,0.0,110,0,8
234,0.004959821701049805,110,1,0
235,0.0,110,0,8
235,0.005242109298706055,110,1,0
236,0.0,110,0,8
236,0.005015134811401367,110,1,0
237,0.0,110,0,8
237,0.005059003829956055,110,1,0
238,0.0,110,0,8
238,0.004782676696777344,110,1,0
239,0.0,110,0,8
239,0.005281209945678711,110,1,0
240,0.0,110,0,8
240,0.004984140396118164,110,1,0
241,0.0,110,0,8
241,0.004943132400512695,110,1,0
242,0.0,110,0,8
242,0.004796266555786133,110,1,0
243,0.0,110,0,8
243,0.004920244216918945,110,1,0
244,0.0,110,0,8
244,0.004815578460693359,110,1,0
245,0.0,110,0,8
245,0.00481104850769043,110,1,0
246,0.0,110,0,8
246,0.004826784133911133,110,1,0
247,0.0,110,0,8
247,0.004862785339355469,110,1,0
248,0.0,110,0,8
248,0.005530357360839844,110,1,0
249,0.0,110,0,8
249,0.0047795772552490234,110,1,0
250,0.0,110,0,8
250,0.0048770904541015625,110,1,0
251,0.0,110,0,8
251,0.004886627197265625,110,1,0
252,0.0,110,0,8
252,0.004891872406005859,110,1,0
253,0.0,110,0,8
